run,cell,arm,alpha,beta,rate_req_s,git_commit,router_image,seed,ok,errors,error_rate,ttft_mean,ttft_p50,ttft_p90,ttft_p95,ttft_p99,itl_p50,itl_p95,itl_p99,e2e_mean,e2e_p95,e2e_p99,throughput_req_s,throughput_tok_s,imbalance
20260803-170418-loadaware-b1.0,loadaware-b1.0,loadaware,1.0,1.0,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,4,500,0,0.0,0.1797,0.1725,0.2449,0.2635,0.3127,nan,nan,nan,2.6777,3.2787,3.3488,6.6414,425.0528,1.4062
20260803-170418-loadaware-b1.0,loadaware-b1.0,loadaware,1.0,1.0,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,5,500,0,0.0,0.183,0.1726,0.2465,0.2683,0.3697,nan,nan,nan,2.8244,3.8786,3.9621,7.2027,460.974,1.2427
20260803-170418-loadaware-b1.0,loadaware-b1.0,loadaware,1.0,1.0,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,6,500,0,0.0,0.1845,0.1763,0.2503,0.2657,0.3052,nan,nan,nan,2.7176,3.4436,3.5882,6.8895,440.9266,1.2925
20260803-171846-kvaware,kvaware,kvaware,,,7.5,63aee0aa29a2,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,1,500,0,0.0,0.1638,0.1535,0.2225,0.2417,0.2727,nan,nan,nan,2.2647,3.119,3.3641,7.2139,461.6873,4.5152
20260803-171846-kvaware,kvaware,kvaware,,,7.5,63aee0aa29a2,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,2,500,0,0.0,0.1767,0.1668,0.2425,0.2609,0.3082,nan,nan,nan,2.498,3.244,3.7073,7.0376,450.4059,4.25
20260803-171846-kvaware,kvaware,kvaware,,,7.5,63aee0aa29a2,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,3,500,0,0.0,0.1797,0.1705,0.2369,0.2587,0.3026,nan,nan,nan,2.6144,3.2229,4.0288,7.3476,470.2468,3.4681
20260803-171846-kvaware,kvaware,kvaware,,,7.5,63aee0aa29a2,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,4,500,0,0.0,0.1785,0.1633,0.2423,0.2746,0.3646,nan,nan,nan,2.507,3.3502,4.3446,6.6152,423.3756,4.3409
20260803-171846-kvaware,kvaware,kvaware,,,7.5,63aee0aa29a2,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,5,500,0,0.0,0.1866,0.1773,0.2543,0.2773,0.3168,nan,nan,nan,2.7348,3.5766,4.0462,7.1243,455.957,3.4583
20260803-171846-kvaware,kvaware,kvaware,,,7.5,63aee0aa29a2,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,6,499,1,0.002,0.1785,0.1678,0.2384,0.2548,0.3357,nan,nan,nan,2.4967,2.8337,3.7325,6.9583,445.3288,3.1455
20260803-174639-roundrobin,roundrobin,roundrobin,,,7.5,63aee0aa29a2,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,1,500,0,0.0,0.1817,0.1464,0.247,0.4709,0.6263,nan,nan,nan,2.3736,3.178,3.3615,7.2197,462.0623,1.2841
20260803-174639-roundrobin,roundrobin,roundrobin,,,7.5,63aee0aa29a2,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,2,500,0,0.0,0.1737,0.158,0.2349,0.2592,0.4845,nan,nan,nan,2.7702,4.4154,5.605,7.09,453.7571,1.5806
20260803-174639-roundrobin,roundrobin,roundrobin,,,7.5,63aee0aa29a2,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,3,500,0,0.0,0.1693,0.164,0.2286,0.2469,0.284,nan,nan,nan,2.7722,3.6971,3.8543,7.3079,467.7029,1.7176
20260803-174639-roundrobin,roundrobin,roundrobin,,,7.5,63aee0aa29a2,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,4,500,0,0.0,0.1645,0.1538,0.228,0.2486,0.2932,nan,nan,nan,2.6234,3.2821,3.3953,6.6252,424.0155,1.4314
20260803-174639-roundrobin,roundrobin,roundrobin,,,7.5,63aee0aa29a2,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,5,500,0,0.0,0.1759,0.1651,0.2455,0.2632,0.3156,nan,nan,nan,2.7778,3.7412,3.8728,7.1419,457.0807,1.5667
20260803-174639-roundrobin,roundrobin,roundrobin,,,7.5,63aee0aa29a2,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,6,499,1,0.002,0.1808,0.1717,0.2505,0.2711,0.339,nan,nan,nan,2.7086,3.4215,3.552,6.9083,442.1308,1.3762
20260803-210741-loadaware-b0.1,loadaware-b0.1,loadaware,1.0,0.1,10.5,97a666ec3585,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,1,500,0,0.0,0.2036,0.1766,0.2591,0.3089,0.9963,nan,nan,nan,2.6306,4.0678,4.8429,9.8855,632.6731,1.0833
20260803-210741-loadaware-b0.1,loadaware-b0.1,loadaware,1.0,0.1,10.5,97a666ec3585,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,2,497,3,0.006,0.2369,0.1979,0.3012,0.363,1.5263,nan,nan,nan,3.1676,5.06,5.6482,9.5307,609.9629,1.1385
